TermID, Name, Frequency, PlotX, PlotY, PlotSize, Value, Uniqueness, Dispensability, Representative, Eliminated
"GO:0003735", "structural constituent of ribosome", 2.424, 0.976, 0.000, 5.821, -9.829, 1.000, 0.000, -1, False
"GO:0004190", "aspartic-type endopeptidase activity", 0.271, 0.000, 0.997, 4.870, -3.602, 1.000, 0.000, -1, False
